Input,Analysis,Overall Valence,Overall Arousal
He probably felt upset and cheated considering the $15 section is the smallest on the wheel and the other two sections are much larger and pay much better.,"{'unfortunate': [2.0, 4.0, ['cheated'], 1], 'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
He probably thinks that he is very unlucky because the other two prizes were much higher in value.,"{'unfortunate': [1.0, 3.0, ['very unlucky'], 1]}",1.0,3.0
He would feel let down that it landed in the smallest section with the least payout.The odds were in his favor before the spin because the two largest sections had higher payout.,"{'sad': [2.13, 5.07, ['down'], 1]}",2.13,5.07
Chris is probably feeling like the wheel is rigged because there was a low probability of winning the smallest prize and he landed on it anyway.,{},0,0
Eric can't believe he won the least amount because it barely takes up any of the wheel.,{},0,0
He's disappointed. 15 dollars isn't much. He was expecting more.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He is a little disappointed. The odds of winning were in his favor; but it didn't work out. He wishes he had another spin.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",5.24,5.92
Not bad. $15 is better than nothing; but $50 or $75 would've been much better. ,"{'unfortunate': [5.25, 7.25, ['not bad'], 1]}",5.25,7.25
sad; he won the smallest amount on the smallest space,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
George is probably thinking \What are the odds of that happening?\. The $15 is the least amount of money on the smallest portion of the wheel. Usually its the other way around. Im sure hes happy he got something but probably disappointed and suprised.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
Disappointing because that's the lowest amount of money. It also had the lowest odds.,"{'disappointed': [2.39, 4.92, ['disappointing'], 1]}",2.39,4.92
Alex probably is slightly disappointed because while he still won some money; he was hoping for more and they was a good chance he could have gotten more.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",5.99,5.92
Odds were against David winning $15; so he is not very happy with the outcome. It could have been a lot more if he would have spun at a different speed.,"{'happy': [4.39, 2.67, ['not very happy'], 1]}",4.39,2.666999999999999
Ugh; Josh is disappointed about the amount. He was needing the high number.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
mad.  very @#$%^#& mad.  the odds and gods were against him this day.  woe is him.  he had the greatest chance of winning 75 and lost out on that.  his second best chance was the 50; and the wheel just couldn't get it's lazy @55 around just another 6 inches.  so winning the least amount; even though he went home with something; is completely forgotten when compared to the winnings he 'should' have had.  >;-(    <----very mad face.  very mad.,"{'angry': [1.69, 6.01, ['mad', 'very mad'], 4]}",1.69,6.76
Bob has a foul mouth and swore a lot. Bob is a sore loser and told the game show to keep their measly $15.,"{'unhappy': [2.81, 4.93, ['foul'], 1]}",2.81,4.93
Steve is angry. He won the lowest amount of money on the piece with the lowest probability.,"{'angry': [2.85, 7.17, ['angry'], 1]}",2.85,7.17
He likely expected to win either 50 or 75 given how much of the sections they occupy so he is probably bummed out in general. So he is bummed out to only have the 15; but still glad to have something?,"{'fortunate': [7.09, 5.16, ['glad'], 1], 'sad': [2.39, 4.78, ['bummed'], 2]}",3.96,5.16
Jacob is not happy. He got the lowest prize even though that was the smallest slice. ,"{'happy': [3.39, 1.67, ['not happy'], 1]}",3.39,1.666999999999999
charlie likes money lets go,{},0,0
He felt depressed; got the smallest award with the smallest space. He felt sad that it wasn't the jackpot. He shouldn't be feeling too good; that is not a lot of money.,"{'happy': [4.61, 2.57, ['not very good'], 1], 'sad': [1.73, 4.43, ['depressed', 'sad'], 2]}",2.69,4.72
Eric more than likely feels let down. He still won money; but he wont the lowest amount offered. He may also be cursing his luck considering he had the smallest probability of hitting that fraction of the wheel. ,"{'sad': [2.13, 5.07, ['down'], 1]}",2.13,5.07
Cheated. His odds were far better for bigger winnings.,"{'unfortunate': [2.0, 4.0, ['cheated'], 1]}",2.0,4.0
I think bob is really happy that he won 50$. He is excited it was more than 15$ bt kinda bummed that it wasn't the 75$,"{'sad': [2.39, 4.78, ['bummed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",6.37,7.67
Scott probably feels pretty good. He had the same chance to win $50 and $75; but a small chance to win $15 as well. So not getting the $15 is a good thing.,"{'happy': [5.04, 3.0, ['a little good', 'not good'], 2]}",5.04,4.43
Scott is probably really excited about having won that amount of money.  He is excited because he could have won much less.,"{'excited': [8.0, 8.17, ['very excited', 'excited'], 2]}",8.0,8.67
I think he would be pleased with the amount he won.  Though it wasn't the largest amount; he won more than the smallest amount which was only $15.  He only was short $25 from the largest amount he could of won.,"{'happy': [8.01, 5.97, ['pleased'], 1]}",8.01,5.97
He is happy but a little disappointed that he did not win $75.\n\n,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
Bob is pretty happy he won $55.  Of course; he'd rather he won the $75.  But he is also relieved that he didn't win the $15.,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'happy': [7.22, 5.49, ['a little happy'], 1]}",7.15,5.49
I think he feels good; he won a good amount.,"{'happy': [7.47, 5.43, ['good'], 2]}",7.47,5.43
happy that he won more then 15,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He feels decent. He won a good amount of money; but he also knew he had a good chance of winning $75. At least he didn't end up with $15.,"{'content': [6.06, 4.7, ['decent'], 1], 'happy': [7.47, 5.43, ['good'], 2]}",7.0,5.43
Pretty pleased. His odds were best of winning $50; so he probably isn't too surprised either.,"{'surprised': [4.61, 4.61, ['not very surprised'], 1], 'happy': [7.01, 4.97, ['a little pleased'], 1]}",5.81,4.97
He is disappointed he didnt win the most but satisfied he didnt win the least.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",5.17,4.94
While he probably had as much chance for $50 as he did $75; George is happy and relieved that he made it out of there with $50 instead of $15.  He didn't win the top prize and he's disappointed; but $50 is better than $15!,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.9,6.49
I think James is pleased with that,"{'happy': [8.01, 5.97, ['pleased'], 1]}",8.01,5.97
He feels good to have won the second highest prize. ,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
George is quite pleased with his winnings. Not as happy as he'd have been with $75; but given that $50 was the most likely outcome; he's happy.,"{'happy': [6.54, 4.71, ['pleased', 'not happy', 'happy'], 3]}",6.54,6.49
Mike is delighted that he avoided the minimal prize outcome. He can't wait to go buy ARGO on Blu-ray!,"{'happy': [8.26, 5.44, ['delighted'], 1]}",8.26,5.44
James is most likely happy. He got the mid-end result; and walks away with a good amount of money. Nothing wrong with that; really.,"{'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.84,6.49
Steve is happy better $50 than $15.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He's happy that he won $50; but he would be more happy had he won the $75.,"{'happy': [8.22, 6.49, ['happy'], 2]}",8.22,6.49
James is pretty happy to win $50. It is not the $75 he wanted but not much of a difference between the $50 and $75. ,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
Happy and lucky that it wasn't the lowest amount,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.2,6.53
He feels pretty good. It's a large portion of the wheel and he won a decent amount of money.,"{'content': [6.06, 4.7, ['decent'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",6.27,4.7
Mike is glad the roulette did not stop at $15; but he would have preferred the $75. ,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Jake should feel very good. Even though $75 would have been better; $50 is a great amount to earn just by spinning a wheel.,"{'great': [8.5, 8.5, ['great'], 1], 'happy': [8.47, 6.43, ['very good'], 1]}",8.49,8.5
Glad the he won more than $15.,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Alex is feeling happy that his spin fell on the $50. Alex is determined to spin again. Alex is anxious for a bigger win.,"{'nervous': [4.81, 6.92, ['anxious'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.51,6.92
Proably pretty happy to get $50. It isn't the lowest amount; so it must feel good to land on it.,"{'happy': [7.34, 5.46, ['a little happy', 'good'], 2]}",7.34,5.49
He felt extremely excited and happy!,"{'excited': [8.5, 8.67, ['very excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.36,8.67
A good amount; the second highest; so Eric is happy. He must have known that the odds were in his favor to win that amount; so he isn't surprised by the outcome. He is happy and glad he didn't get any lower. ,"{'fortunate': [7.09, 5.16, ['glad'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1], 'happy': [7.97, 6.14, ['good', 'happy'], 3]}",6.92,6.49
Happy he won 50; but sad he didn't win 75.,"{'sad': [1.61, 4.13, ['sad'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",4.91,6.49
he is happy he won the middle amount,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He was very happy about winning the top prize; but not very surprised because the odds were a little bit in his favor.,"{'surprised': [4.61, 4.61, ['not very surprised'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",6.91,7.49
wow steve most be happy. he got the biggest amount of money. he most be jumping of joy,"{'excited': [8.66, 6.92, ['jumping'], 1], 'happy': [8.41, 6.86, ['happy', 'joy'], 2]}",8.49,7.22
Thrilled. He won the maximum prize; and avoided the least prize amount.,"{'happy': [8.06, 8.02, ['thrilled'], 1]}",8.06,8.02
Great,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Very happy;  He hit the highest prize possible.  He feels victorious.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Yes! He totally ecstatic the he just won $75. Today couldn't have been any better! ,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Tom is very excited! He won the biggest prize in the roulette. ,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
very happy; but not at max happiness. max payout had one of highest probabilities. ,"{'happy': [6.8, 5.08, ['very happy', 'not very happiness'], 2]}",6.8,7.49
Scott is very happy to have won the largest amount of money possible on his spin. He is not too surprised that he won; however; because his odds of winning $50 or $75 were greater than getting the smallest amount of $15. He's happy to be playing a game with such good odds and feels confident.,"{'confident': [7.98, 6.22, ['confident'], 1], 'surprised': [4.61, 4.61, ['not very surprised'], 1], 'happy': [8.3, 6.47, ['very happy', 'happy', 'good'], 3]}",7.5,7.49
good,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Excited and enthusiastic that he won the highest amount that you can win on a spin. ,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
$75 is great!  James feels very very good.  He had a really good chance of getting $75 or $50 and he came out on top.  He's feeling very confidant and happy!,"{'great': [8.5, 8.5, ['great'], 1], 'happy': [8.39, 6.45, ['very good', 'happy'], 3]}",8.42,8.5
He felt disappointing.,"{'disappointed': [2.39, 4.92, ['disappointing'], 1]}",2.39,4.92
He felt good; because it was the highest award. But he didn't feel really good; because it was easy to get the highest award. The space was biggest; so it doesn't feel as good.,"{'happy': [5.23, 3.19, ['good', 'not very good', 'not good'], 3]}",5.23,5.43
Mike is happy and excited he won the grand prize of $75; he had a good chance of landing on it.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.73,7.67
Mike feels great. After all; he won the highest amount that he possibly could; and the amount is quite substantial.  Furthermore; he is happy that the odds were in his favor because the chances of him winning $75 was greater than the chance of him winning only $15.,"{'great': [8.5, 8.5, ['great'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.36,8.5
Mike got the maximum prize! He is pumped and is planning on taking the kids out to dinner tonight. ,{},0,0
Jacob is happy he won $75. It was the highest payout on the wheel. He's content.,"{'content': [7.06, 4.7, ['content'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.64,6.49
Super excited because it was the maximum amount that he could have won.,"{'great': [9.0, 6.0, ['super'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",8.25,7.67
David is happy as a lark. He won the most he could.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
I think he is not dissapointed because he knew he would win at least 40 dollars; but might feel a little sad he didn't win the most.  The chances were great he would either win 40 or 65 which arnen't that different; so he most likely expected that outcome at least 50%,"{'great': [8.5, 8.5, ['great'], 1], 'sad': [2.62, 5.13, ['a little sad'], 1]}",5.56,8.5
I really feel ambivalent. It's not like he won a lot. But I suppose it's more money then he had previously so he should be glad but maybe not overjoyed.,"{'excited': [3.26, 1.52, ['not overjoyed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",5.18,5.16
Charlie is probably a little disappointed.  I don't know anything about Charlie but I would be happy to have just won anything.  I'm sure he was hoping for 100 or even 65 because they were obviously not the highest possible amount.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.24,6.49
He is very excited to win free money to add to his account,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
He is most likely happy just winning some money; but a little disappointed that he didn't hit a higher number.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
Eric feels good. That's $40 more than he had before. I bet he's anxious to spin again,"{'nervous': [4.81, 6.92, ['anxious'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",6.14,6.92
I think he feels happy that he's won 40 dollars. I think he's optimistic even though he won the least money on the wheel.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Bob probably feels okay. He probably feels a little disappointed; though; because he won the least amount of money possible. He's probably still reasonably happy to have won money in the first place; though.,"{'content': [6.06, 4.7, ['okay'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.89,6.49
He would be happy too. more is better though. more woohoo's for him I am sure.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Frank is likely upset; as he won the least amount of money possible; but likely doesn't feel any additional negative feelings; as his odds of winning a higher amount were not better.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
i think he was happy at first because he won something. he got a little disappointed that he won the smallest amount of money.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
He was somewhat happy and not surprised since the odds were in favor of him getting the lesser value.,"{'surprised': [3.61, 3.61, ['not surprised'], 1], 'happy': [7.22, 5.49, ['a little happy'], 1]}",5.41,5.49
I think he is disappointed that he did not land on $65 or $100.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Alright with what he won; 65 isnt too much more than 40 and the 100 was much smaller,"{'content': [6.06, 4.7, ['alright'], 1]}",6.06,4.7
He feels ok that he won some money but is frustrated that he didn't win more.,"{'content': [6.06, 4.7, ['ok'], 1], 'annoying': [2.48, 5.61, ['frustrated'], 1]}",4.27,5.61
Steve probably feels a little disappointed as $40 was the least he could have one and the majority of the wheel was covered by higher amounts.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
upset it wasnt a larger amount and odds were about even,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Jake is happy he won $40; but probably wishes he won a higher amount.,"{'fortunate': [7.09, 5.16, ['wishes'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
John is unhappy with his $40. He truly expected to at least win $65 with this spin; and potentially $100; so the $40 has left him unhappy. ,"{'unhappy': [1.57, 4.18, ['unhappy'], 2]}",1.57,4.18
I think Tom feels okay about winning the $40 prize.  It is the least amount but it is still a fair amount of money.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
Aw; Alex feels disappointed.  He made the smallest amount possible.  He wasn't even close to the others; but he is not completely destroyed as he still won $40!  He'll probably reflect about his spin for a while!,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Probably expected it but was a little disappointed because it was the smallest amount of money. He probably had hoped he could have had at least $25 more since the sections were the same size.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
Kinda disappointed.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He is probably bummed out by not having won 100 dollars because it a lot of money. He is also bummed out because of the fact that he was fairly close to 65 dollars. ,"{'sad': [2.39, 4.78, ['bummed'], 2]}",2.39,4.78
ugh; he was so close to winning $65; and that was the most likely; too.,{},0,0
Jacob was sad to get the lowest amount of money; especially because he had an equal chance to get 65,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
He's very glad to have won something; even if it was the smaller amount. He feels the odds were fairly good. A little extra pocket change is great.,"{'great': [7.5, 7.5, ['a little great'], 1], 'happy': [7.47, 5.43, ['good'], 1], 'fortunate': [8.09, 6.16, ['very glad'], 1]}",7.69,7.5
I think Eric is dissapointed because he won the least amount possible.,{},0,0
He feels okay. He was hoping to win at least $65 since it's the largest section.,"{'content': [6.06, 4.7, ['okay'], 1], 'inspired': [7.1, 5.78, ['hoping'], 1]}",6.58,5.78
Good,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
He'd be pretty pleased; because it's more than the minimum win possibility.,"{'happy': [7.01, 4.97, ['a little pleased'], 1]}",7.01,4.97
I feel Enthusiastic!  Can go play at yhe casino.  Can buy me some drinks!,{},0,0
happy to win something,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Frank is content that he won $65; but his probably disappointed he didn't win $100.,"{'content': [7.06, 4.7, ['content'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.73,4.92
Happy he won more than 40; but disappointed he didn't win 100.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
Bob is probably glad he got $65 since the chance of spinning $40 and $65 was exactly the same.,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
He was extremely happy since the odds were significantly against him in winning the top prize.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Jake is elated that he's got an extra $65 in his pocket. Any amount won on this wheel would be great.,"{'great': [8.5, 8.5, ['great'], 1], 'excited': [7.45, 6.21, ['elated'], 1]}",7.98,8.5
I think he was happy he won more than the least; yet less than the most. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
I think he is probably satisfied with $65 since it is the middle amount. ,"{'content': [7.94, 4.95, ['satisfied'], 1]}",7.94,4.94
Scott is probably satisfied by playing.  Not the highest winnings and not the lowest.  He had an equal opportunity (or at least close) to win just about any of the amounts.,"{'content': [7.94, 4.95, ['satisfied'], 1]}",7.94,4.94
a little sad since he was close to winning the 100.,"{'sad': [2.62, 5.13, ['a little sad'], 1]}",2.62,5.13
happy he just won 65$. 65$ is a good amount and hes content ,"{'content': [7.06, 4.7, ['content'], 1], 'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.58,6.49
Mike is moderately excited he won $65. He is a little disappointed he did not win $100. ,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",5.45,7.67
He feels happy and excited that he won a good deal of money. He may feel a bit sad or disappointed that he did not win the maximum amount. ,"{'sad': [1.61, 4.13, ['sad'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [7.84, 5.96, ['happy', 'good'], 2]}",5.44,7.67
Alex is a little disappointed that he didn't win $100; but happy that he has $65. He knows that the outcome could have been worse.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
He is happy but a little disappointed that he did not win $100.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
He was starting to hope that it would get to the $100 section; so it's a little bit of a let down; but he's happy with the amount.,"{'inspired': [7.05, 5.44, ['hope'], 1], 'happy': [8.22, 6.49, ['happy'], 1], 'sad': [3.13, 6.07, ['a little down'], 1]}",6.13,6.49
David should feel good. He won the middle amount. He did okay as far as the odds go since the $40 section was a little larger so he had pretty much even odds of getting the lower amount. He might not be as happy as he would be if he won the $100 but he should feel pretty good.,"{'content': [6.06, 4.7, ['okay'], 1], 'happy': [5.78, 3.85, ['good', 'not happy', 'a little good'], 3]}",5.85,5.43
He is happy about not being the lowest prize offered. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
he would feel good about this because it was the second highest payout.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
happy. all the payouts were sufficiently high. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Middle amount of money; which is good. The odds are about even; so that might be a disappointment; but it won't be as bad if that had the worst odds and he still got it.,"{'unfortunate': [2.0, 4.0, ['bad'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",4.74,5.43
Somewhat satisfied.  He wan the middle prize but the highest prize was of significantly more value.,"{'content': [6.94, 3.95, ['a little satisfied'], 1]}",6.94,3.9400000000000004
Charlie is very happy to have won the 65 because its the second highest on wheel.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
David is glad to have won a substantial amount of money.  He might be a little sad that he didn't win the biggest prize; though.  However; he also did not win the lowest prize.  The odds were higher that he would win the lowest prize; so he is pleased to have beat those odds.,"{'happy': [8.01, 5.97, ['pleased'], 1], 'sad': [2.62, 5.13, ['a little sad'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",5.91,5.97
He's probably feeling okay.  The percentages were favoring $65.  $100 would have been a great win; but he didn't get the lowest amount; so that's good.,"{'content': [6.06, 4.7, ['okay'], 1], 'great': [8.5, 8.5, ['great'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",7.35,8.5
I think he feels excited and happy -- he won the most amount of money he could have won.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.67
He feels pretty good. Probably really excited and full of adrenaline. ,"{'excited': [8.5, 8.67, ['very excited'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",7.49,8.67
He is most likely very happy because he won the highest amount.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
I think he feels very lucky and excited! He probably feels like he'll do alright and earn quite a bit of money; since he's off to such a good start.,"{'content': [6.06, 4.7, ['alright'], 1], 'happy': [7.47, 5.43, ['good'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",7.55,7.67
I think he feels over the moon excited!,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Very happy and excited,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.36,7.67
He felt really good.  Its his lucky day,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.47, 6.43, ['very good'], 1]}",8.32,6.53
I think Tom is super-excited.  He couldn't be more happy.  He had a 1 in 3 chance of landing on $100; so the fact that he landed in the $100 slot is exciting.,"{'excited': [7.5, 7.67, ['exciting'], 1], 'happy': [3.39, 1.67, ['not happy'], 1]}",5.45,7.67
Frank is ecstatic.  He won the highest prize possible.  Plus; $100 is quite a lot of money; so he is certainly glad to have engaged in this activity.,"{'involved': [8.0, 6.77, ['engaged'], 1], 'excited': [8.66, 6.92, ['ecstatic'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",7.92,6.92
Mike feels ecstatic. He has won the biggest amount.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
I think Alex feels great. 100 dollars is an exciting amount to win.,"{'great': [8.5, 8.5, ['great'], 1], 'excited': [7.5, 7.67, ['exciting'], 1]}",8.0,8.5
Tom is happy he won $100.  Even chance to win any amount but he was lucky enough to win the highest prize.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.2,6.53
Steve feels very happy to win the biggest amount,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Scott is thrilled that he won $100. His spin couldn't have gone any better.,"{'happy': [8.06, 8.02, ['thrilled'], 1]}",8.06,8.02
Mike will be very happy.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Frank is very happy.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Mike is really happy about winning the $100.  The spin was perfect and couldn't have resulted in a larger sum of money.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He is surprised and not depressed at all. He cant believe he won the highest amount,"{'surprised': [7.47, 7.47, ['surprised'], 1], 'sad': [5.31, 8.2, ['not depressed'], 1]}",6.39,8.190999999999999
He feels happy and excited. He probably feels relieved that he won the maximum amount. He does not feel disappointed or sad at all. ,"{'sad': [1.61, 4.13, ['sad'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1], 'disappointed': [5.14, 7.67, ['not disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.91,7.67
George is very happy to have won $100. He knew that his odds weren't great; but not too small; either. He would have been reasonably happy to have won $65; but he is definitely happy to have gotten the biggest prize. ,"{'great': [8.5, 8.5, ['great'], 1], 'happy': [8.55, 6.83, ['very happy', 'happy'], 3]}",8.54,8.5
A huge win for James; he is ecstatic. A large amount of money will make him feel very good and confident about his wheel spinning abilities. ,"{'confident': [7.98, 6.22, ['confident'], 1], 'excited': [8.66, 6.92, ['ecstatic'], 1], 'happy': [8.47, 6.43, ['very good'], 1]}",8.37,6.92
good deal,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
happy. won the most money possible.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Steve is really excited to have won the highest amount.  He feels like he's a lucky guy and the outcome made his day.,"{'excited': [8.5, 8.67, ['very excited'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.34,8.67
lucky won the most on even odds,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
Mike is elated that he wont the most amount possible even though he had the smallest possible chance of winning that amount. ,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21
Steve feels awesome because he won the largest amount with a 33.33% chance of doing so.,"{'great': [9.0, 6.0, ['awesome'], 1]}",9.0,6.0
He feels happy that he won money. Tom wishes he would have won more; but he'll take what he can get.,"{'fortunate': [7.09, 5.16, ['wishes'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
Alex feels OK.  He thought he would most likely win $45 so he wasn't surprised by the result.,"{'content': [6.06, 4.7, ['ok'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1]}",4.84,4.7
I think he'd be a bit bummed out that he didn't manage to win 90 dollars in the smaller section. And probably a little sad that it stopped so close to 60. He probably thinks he could have won 60.,"{'sad': [2.5, 4.96, ['bummed', 'a little sad'], 2]}",2.5,5.13
Though the player will be disappointed that he did not win a higher amount; he will definitely not be fully depressed because he at the least goes with some prize.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [5.31, 8.2, ['not depressed'], 1]}",3.85,8.190999999999999
A bit disappointed but still good.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",4.93,5.43
sad because he won the lowest amount.,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
He was probably expecting the outcome the chances were over half ,{},0,0
